"","date","ozone","temperature","relative_humidity","numdeaths"
"1293",2005-07-16,55.9090919494629,18.7749996185303,45.2750015258789,136
"1294",2005-07-17,75.7272720336914,21.28125,40.2000007629395,133
"1295",2005-07-18,51.7511024475098,20.1125011444092,50.3499984741211,138
"1296",2005-07-19,46.3160705566406,17.7687492370605,41.9000015258789,128
"1297",2005-07-20,45.8179359436035,19.3374996185303,42.4500007629395,111
"1298",2005-07-21,37.0909080505371,17.375,55.4249992370605,113
"1299",2005-07-22,23.1818180084229,16.8500003814697,69.375,133
"1300",2005-07-23,26.9090900421143,18.9874992370605,64.4499969482422,114
"1301",2005-07-24,29.784387588501,18.0437488555908,85.25,119
"1302",2005-07-25,30.2874031066895,16.34375,85.375,114
"1303",2005-07-26,33.9413948059082,16.5062503814697,57.3250007629395,136
"1304",2005-07-27,25.8036117553711,14.7249994277954,94.6000061035156,115
"1305",2005-07-28,30.6363639831543,19.3374996185303,80.5999984741211,143
"1306",2005-07-29,50.4637451171875,18.40625,55.5,135
"1307",2005-07-30,34.9737854003906,16.875,69.3499984741211,120
"1308",2005-07-31,30.7259197235107,16.7999992370605,70.5500030517578,138
"1309",2005-08-01,22.9620685577393,17.5687503814697,75.3499984741211,132
"1310",2005-08-02,41.3466262817383,18.0062503814697,60.1500015258789,119
"1311",2005-08-03,33.0959014892578,18.8937492370605,49.9946899414062,130
"1312",2005-08-04,26.9255561828613,17.375,51.9020767211914,131
"1313",2005-08-05,30.8074626922607,17.3782730102539,74.3185119628906,123
"1314",2005-08-06,31.2116031646729,15.5249996185303,58.2249984741211,130
"1315",2005-08-07,41.0695571899414,15.53125,50.2000007629395,115
"1316",2005-08-08,30.2241230010986,15.9624996185303,51.0999984741211,134
"1317",2005-08-09,28.1170768737793,18.1312503814697,42.125,125
"1318",2005-08-10,25.7012367248535,19.1499996185303,59.25,144
"1319",2005-08-11,32.8249435424805,19.65625,53.375,127
"1320",2005-08-12,25.9090900421143,17.7312507629395,59.0999984741211,150
"1321",2005-08-13,24.9090900421143,16.1124992370605,72.75,142
"1322",2005-08-14,38,16.1812496185303,70.7249984741211,139
"1323",2005-08-15,27.7272720336914,16.9249992370605,59.3250007629395,137
"1324",2005-08-16,34,18.53125,51.7999992370605,117
"1325",2005-08-17,39.4545440673828,19.4249992370605,52.1500015258789,133
"1326",2005-08-18,47.6363639831543,21.1625003814697,52.4500007629395,147
"1327",2005-08-19,23.3636360168457,17.3812503814697,91.4250030517578,131
"1328",2005-08-20,29.3636360168457,16.6437492370605,64.0250015258789,121
"1329",2005-08-21,35.1818199157715,19.2937507629395,56.5999984741211,123
"1330",2005-08-22,11.5454549789429,15.9937505722046,94.0250015258789,111
"1331",2005-08-23,28.5454540252686,16.40625,56.7999992370605,106
"1332",2005-08-24,30.2740116119385,15.0562496185303,79.5250015258789,119
"1333",2005-08-25,34.8235282897949,14.8937501907349,61.0750007629395,113
"1334",2005-08-26,32.5454559326172,14.6687507629395,51.9749984741211,120
"1335",2005-08-27,28,16.3875007629395,64.0500030517578,136
"1336",2005-08-28,42.2727279663086,17.6687507629395,57.2999992370605,122
"1337",2005-08-29,36.5454559326172,18.6000003814697,61.2750015258789,131
"1338",2005-08-30,35.9090919494629,20.7999992370605,57.3250007629395,135
"1339",2005-08-31,63.9090919494629,22.7875003814697,51.8499984741211,152
"1340",2005-09-01,54.5454559326172,20.4449157714844,58.2750015258789,130
"1341",2005-09-02,39.1818199157715,18.2581596374512,52.2249984741211,117
"1342",2005-09-03,56,19.6445274353027,66.4749984741211,109
"1343",2005-09-04,58.1818199157715,22.4590492248535,59.5250015258789,140
"1344",2005-09-05,24.5454540252686,20.0662422180176,76.0250015258789,149
"1345",2005-09-06,10.9090909957886,18.6801452636719,73.625,118
"1346",2005-09-07,41.6363639831543,18.6802539825439,58.2750015258789,131
"1347",2005-09-08,42.634521484375,19.3303318023682,60.4000015258789,153
"1348",2005-09-09,16.0942897796631,19.5592594146729,70.5999984741211,118
"1349",2005-09-10,27.3496646881104,19.823579788208,79.9250030517578,116
"1350",2005-09-11,37.3636360168457,16.5294399261475,91.8000030517578,133
"1351",2005-09-12,33.7272720336914,17.6578330993652,69.0999984741211,121
"1352",2005-09-13,37.4359893798828,16.7512435913086,64.8000030517578,111
"1353",2005-09-14,38.7099571228027,19.7584495544434,73.4000015258789,125
"1354",2005-09-15,21.2672271728516,17.7364635467529,91.9499969482422,118
"1355",2005-09-16,47.485221862793,13.1857624053955,64.0500030517578,139
"1356",2005-09-17,24.6363639831543,10.6279678344727,53.4500007629395,116
"1357",2005-09-18,14.9094209671021,11.8715219497681,74.7249984741211,136
"1358",2005-09-19,25.2727279663086,16.2722854614258,62.9249992370605,142
"1359",2005-09-20,22.7272720336914,16.1654319763184,66.9749984741211,129
"1360",2005-09-21,25.5454540252686,16.9435577392578,74.1999969482422,128
"1361",2005-09-22,33.4062271118164,15.6654491424561,68.2750015258789,115
"1362",2005-09-23,26.9090900421143,14.7947120666504,86.375,107
"1363",2005-09-24,27.2727279663086,12.4996690750122,58.0202751159668,119
"1364",2005-09-25,35.9090919494629,16.2152004241943,71.0249938964844,110
"1365",2005-09-26,37.0909080505371,13.8359327316284,68.7750015258789,127
"1366",2005-09-27,39,16.2005748748779,71.9749984741211,154
"1367",2005-09-28,39.2171173095703,11.7350988388062,63.25,119
"1368",2005-09-29,27.8131999969482,11.9496784210205,60.5750007629395,142
"1369",2005-09-30,18.0699710845947,15.1644954681396,91.7249984741211,144
"1370",2005-10-01,37.0909080505371,13.585560798645,70.1500015258789,136
"1371",2005-10-02,30.4545459747314,11.470498085022,59.5999984741211,121
"1372",2005-10-03,8.72727298736572,10.5566520690918,72.5,132
"1373",2005-10-04,14.5688076019287,12.6497383117676,64.875,140
"1374",2005-10-05,16.6363639831543,13.0642070770264,82.5749969482422,151
"1375",2005-10-06,10.8181819915771,14.7142763137817,85.6999969482422,141
"1376",2005-10-07,9.6363639831543,16.0078525543213,74.5500030517578,164
"1377",2005-10-08,38.1818199157715,15.4577341079712,74.9499969482422,125
"1378",2005-10-09,24.1818180084229,11.9853782653809,65.9000015258789,121
"1379",2005-10-10,35.1818199157715,15.6724538803101,66.2249984741211,137
"1380",2005-10-11,39.9396438598633,18.28053855896,72.8249969482422,147
"1381",2005-10-12,26.0582466125488,18.1295986175537,87.4000015258789,150
"1382",2005-10-13,19.5122890472412,14.1142387390137,86.375,119
"1383",2005-10-14,26.7272720336914,13.992525100708,83.375,110
"1384",2005-10-15,16.6363639831543,16.9436359405518,70.0250015258789,146
"1385",2005-10-16,15.8844842910767,14.4790916442871,73.0999984741211,99
"1386",2005-10-17,5.10342311859131,14.3369607925415,84.875,135
"1387",2005-10-18,3.63186931610107,11.4492378234863,73.1500015258789,140
"1388",2005-10-19,22.3200950622559,13.0998439788818,82.6500015258789,132
"1389",2005-10-20,33.7021903991699,12.9352779388428,65.875,124
"1390",2005-10-21,42.5454559326172,13.6144676208496,75.7250061035156,145
"1391",2005-10-22,26.7272720336914,13.3639793395996,76.5250015258789,131
"1392",2005-10-23,15.3636360168457,11.2140436172485,79.4749984741211,140
"1393",2005-10-24,39.5454559326172,13.4070358276367,92.8000030517578,140
"1394",2005-10-25,48.4545440673828,15.2860441207886,67.4749984741211,129
"1395",2005-10-26,21.4545459747314,15.0432577133179,85.6500015258789,135
"1396",2005-10-27,30,17.4801139831543,69.0500030517578,138
"1397",2005-10-28,38.3636360168457,15.5575838088989,82.1999969482422,147
"1398",2005-10-29,32.3636360168457,14.4505577087402,86.0500030517578,140
"1399",2005-10-30,43.0909080505371,16.7724094390869,76.0250015258789,143
"1400",2005-10-31,21.8181819915771,13.2779998779297,89.9749984741211,110
"1401",2005-11-01,35.4770431518555,12.25,70.7249984741211,133
"1402",2005-11-02,42.9157905578613,13.8500003814697,90.5749969482422,142
"1403",2005-11-03,58.6589393615723,14.7312498092651,72.4500045776367,128
"1404",2005-11-04,36.7624435424805,10.84375,67.6500015258789,148
"1405",2005-11-05,32.6856384277344,9.05624961853027,78.9749984741211,128
"1406",2005-11-06,49.7153663635254,11.9750003814697,87.7249984741211,126
"1407",2005-11-07,28.1096649169922,11.1312503814697,74.2249984741211,143
"1408",2005-11-08,44.3187980651855,13.6750001907349,72.6750030517578,147
"1409",2005-11-09,18.3873176574707,9.54374980926514,73.1999969482422,124
"1410",2005-11-10,28.798002243042,9.52499961853027,87.3499984741211,122
"1411",2005-11-11,48.6013488769531,12.8374996185303,74.6500015258789,130
"1412",2005-11-12,28.2275676727295,8.23750019073486,71.4000015258789,126
"1413",2005-11-13,16.608606338501,6.20625019073486,82.6500015258789,122
"1414",2005-11-14,4.77259826660156,5.18125009536743,79.4000015258789,127
"1415",2005-11-15,14.2988653182983,7.80000019073486,76.7750015258789,152
"1416",2005-11-16,21.7624683380127,5.69999980926514,68.0999984741211,137
"1417",2005-11-17,5.27338457107544,2.88124990463257,68.2249984741211,115
"1418",2005-11-18,3.88190007209778,2.26250004768372,76.8499984741211,147
"1419",2005-11-19,3.87513637542725,2.92499995231628,81.25,152
"1420",2005-11-20,2.78887891769409,2.20624995231628,82.9749984741211,121
"1421",2005-11-21,2.48902273178101,2.9375,84.5,132
"1422",2005-11-22,2.09101676940918,4.6875,87.5999984741211,159
"1423",2005-11-23,2.19113087654114,4.05000019073486,93.6500015258789,159
"1424",2005-11-24,14.6120624542236,5.41249990463257,78.75,156
"1425",2005-11-25,23.1909790039062,1.36874997615814,74.5250015258789,143
"1426",2005-11-26,17.7897338867188,3.23124980926514,82.1999969482422,136
"1427",2005-11-27,13.8167610168457,3.08750009536743,84.9499969482422,132
"1428",2005-11-28,10.643180847168,3.20624995231628,75.1999969482422,141
"1429",2005-11-29,7.562903881073,2.85625004768372,77.875,159
"1430",2005-11-30,10.2196607589722,3.70000004768372,81.5500030517578,145
"1431",2005-12-01,26.4247856140137,7.06874990463257,88.0999984741211,157
"1432",2005-12-02,43.7265434265137,8.625,77.3499984741211,175
"1433",2005-12-03,36.7619667053223,8.08749961853027,81.75,151
"1434",2005-12-04,15.4024991989136,6.875,84.0500030517578,133
"1435",2005-12-05,9.72841358184814,6.41249990463257,81.2750015258789,129
"1436",2005-12-06,2.38884329795837,3.86249995231628,88.4250030517578,147
"1437",2005-12-07,6.06439113616943,3.5,86,161
"1438",2005-12-08,13.8153352737427,5.22499990463257,87.0749969482422,151
"1439",2005-12-09,1.69602882862091,3.28749990463257,92.8000030517578,150
"1440",2005-12-10,2.29201674461365,4.46875,83.5749969482422,150
"1441",2005-12-11,1.69636309146881,3.20000004768372,90.1500015258789,139
"1442",2005-12-12,16.0964469909668,4.50624990463257,77.6500015258789,146
"1443",2005-12-13,11.5341167449951,5.79374980926514,77.125,149
"1444",2005-12-14,11.4292268753052,6,79.8250045776367,161
"1445",2005-12-15,17.5748023986816,8.38749980926514,74.2000045776367,190
"1446",2005-12-16,38.0542526245117,8.73750019073486,65.3249969482422,173
"1447",2005-12-17,26.0436782836914,2.99283480644226,55.5250015258789,135
"1448",2005-12-18,12.3157644271851,1.27767193317413,70.1500015258789,133
"1449",2005-12-19,15.1137752532959,4.69390821456909,80.0500030517578,165
"1450",2005-12-20,2.68961477279663,3.43125009536743,79,152
"1451",2005-12-21,8.43673038482666,6.76875019073486,85.3249969482422,164
"1452",2005-12-22,19.1597900390625,7.50624990463257,77.4000015258789,157
"1453",2005-12-23,20.209566116333,8.63780689239502,70.8249969482422,144
"1454",2005-12-24,10.244776725769,8.75,82.5,153
"1455",2005-12-25,24.3595161437988,4.16874980926514,79.6500015258789,154
"1456",2005-12-26,33.2690887451172,3.46875,84.6999969482422,169
"1457",2005-12-27,30.0626373291016,1.23125004768372,82.7249984741211,146
"1458",2005-12-28,24.442024230957,-0.193749994039536,84.3833541870117,158
"1459",2005-12-29,13.0370225906372,0.00624999403953552,88.0749969482422,158
"1460",2005-12-30,29.2271728515625,3.48125004768372,92.9749984741211,176
"1461",2005-12-31,46.1532859802246,5.93125009536743,75.4499969482422,176
"1462",2006-01-01,25.5084648132324,5.73750019073486,78.75,147
"1463",2006-01-02,11.6126098632812,6.26875019073486,86.9499969482422,145
"1464",2006-01-03,5.22952556610107,7.22499990463257,92.0250015258789,157
"1465",2006-01-04,19.8453063964844,5.59375,83.5250015258789,153
"1466",2006-01-05,7.41732883453369,2.78125,75.0999984741211,150
"1467",2006-01-06,2.71187663078308,3,75.9749984741211,154
